label,seq_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops
[baseline_before] llama3_70b,7680,8,64,8,128,16,128,32,2,2,4,1,115.3316,67.032
[baseline_before] llama3_70b,7808,8,64,8,128,16,128,32,2,2,4,1,119.1432,67.069
[baseline_before] llama3_70b,7936,8,64,8,128,16,128,32,2,2,4,1,123.0628,67.079
[baseline_before] llama3_70b,8064,8,64,8,128,16,128,32,2,2,4,1,127.0025,67.112
[baseline_before] llama3_70b,8192,8,64,8,128,16,128,32,2,2,4,1,131.032,67.129
[experiment] llama3_8b_num_mma_kv_1,128,8,32,8,128,16,128,16,2,1,4,1,0.0605,17.75
[experiment] llama3_8b_num_mma_kv_1,256,8,32,8,128,16,128,16,2,1,4,1,0.1383,31.047
[experiment] llama3_8b_num_mma_kv_1,384,8,32,8,128,16,128,16,2,1,4,1,0.2491,38.79
[experiment] llama3_8b_num_mma_kv_1,512,8,32,8,128,16,128,16,2,1,4,1,0.3902,44.023
[experiment] llama3_8b_num_mma_kv_1,640,8,32,8,128,16,128,16,2,1,4,1,0.5507,48.745
[experiment] llama3_8b_num_mma_kv_1,768,8,32,8,128,16,128,16,2,1,4,1,0.76,50.864
[experiment] llama3_8b_num_mma_kv_1,896,8,32,8,128,16,128,16,2,1,4,1,0.9965,52.799
[experiment] llama3_8b_num_mma_kv_1,1024,8,32,8,128,16,128,16,2,1,4,1,1.2672,54.23
[experiment] llama3_8b_num_mma_kv_1,1152,8,32,8,128,16,128,16,2,1,4,1,1.5996,54.371
[experiment] llama3_8b_num_mma_kv_1,1280,8,32,8,128,16,128,16,2,1,4,1,1.9235,55.823
[experiment] llama3_8b_num_mma_kv_1,1408,8,32,8,128,16,128,16,2,1,4,1,2.2928,56.664
[experiment] llama3_8b_num_mma_kv_1,1536,8,32,8,128,16,128,16,2,1,4,1,2.731,56.615
[experiment] llama3_8b_num_mma_kv_1,1664,8,32,8,128,16,128,16,2,1,4,1,3.1342,57.897
[experiment] llama3_8b_num_mma_kv_1,1792,8,32,8,128,16,128,16,2,1,4,1,3.5896,58.629
[experiment] llama3_8b_num_mma_kv_1,1920,8,32,8,128,16,128,16,2,1,4,1,4.1063,58.834
[experiment] llama3_8b_num_mma_kv_1,2048,8,32,8,128,16,128,16,2,1,4,1,4.6616,58.966
