label,kv_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,dtype,use_tensor_cores,backend,fixed_split_size,requested_fixed_split_size,target_split_k,split_k_count,disable_split_kv,split_kv,kv_chunk_size_tokens,kv_chunk_size_pages,num_chunks_kv,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops,gb_per_s_est
[baseline_before] llama3_8b_float16_split_k_1,5120,16,32,8,128,16,fp16,1,fa2,320,,1,1,0,0,5120,320,1,16,64,1,1,1,4,0.38613,3.476,869.0
[baseline_before] llama3_8b_float16_split_k_1,5248,16,32,8,128,16,fp16,1,fa2,328,,1,1,0,0,5248,328,1,16,64,1,1,1,4,0.3943,3.489,872.3
[baseline_before] llama3_8b_float16_split_k_1,5376,16,32,8,128,16,fp16,1,fa2,336,,1,1,0,0,5376,336,1,16,64,1,1,1,4,0.40427,3.486,871.5
[baseline_before] llama3_8b_float16_split_k_1,5504,16,32,8,128,16,fp16,1,fa2,344,,1,1,0,0,5504,344,1,16,64,1,1,1,4,0.41354,3.489,872.2
[baseline_before] llama3_8b_float16_split_k_1,5632,16,32,8,128,16,fp16,1,fa2,352,,1,1,0,0,5632,352,1,16,64,1,1,1,4,0.42244,3.495,873.7
[baseline_before] llama3_8b_float16_split_k_1,5760,16,32,8,128,16,fp16,1,fa2,360,,1,1,0,0,5760,360,1,16,64,1,1,1,4,0.43241,3.492,873.0
[baseline_before] llama3_8b_float16_split_k_1,5888,16,32,8,128,16,fp16,1,fa2,368,,1,1,0,0,5888,368,1,16,64,1,1,1,4,0.44169,3.495,873.6
[baseline_before] llama3_8b_float16_split_k_1,6016,16,32,8,128,16,fp16,1,fa2,376,,1,1,0,0,6016,376,1,16,64,1,1,1,4,0.4504,3.501,875.4
[baseline_before] llama3_8b_float16_split_k_1,6144,16,32,8,128,16,fp16,1,fa2,384,,1,1,0,0,6144,384,1,16,64,1,1,1,4,0.46003,3.501,875.3
[baseline_before] llama3_8b_float16_split_k_1,6272,16,32,8,128,16,fp16,1,fa2,392,,1,1,0,0,6272,392,1,16,64,1,1,1,4,0.46931,3.503,875.8
[baseline_before] llama3_8b_float16_split_k_1,6400,16,32,8,128,16,fp16,1,fa2,400,,1,1,0,0,6400,400,1,16,64,1,1,1,4,0.4789,3.503,875.8
[baseline_before] llama3_8b_float16_split_k_1,6528,16,32,8,128,16,fp16,1,fa2,408,,1,1,0,0,6528,408,1,16,64,1,1,1,4,0.49098,3.485,871.4
[baseline_before] llama3_8b_float16_split_k_1,6656,16,32,8,128,16,fp16,1,fa2,416,,1,1,0,0,6656,416,1,16,64,1,1,1,4,0.49817,3.502,875.6
[baseline_before] llama3_8b_float16_split_k_1,6784,16,32,8,128,16,fp16,1,fa2,424,,1,1,0,0,6784,424,1,16,64,1,1,1,4,0.50702,3.507,876.9
[baseline_before] llama3_8b_float16_split_k_1,6912,16,32,8,128,16,fp16,1,fa2,432,,1,1,0,0,6912,432,1,16,64,1,1,1,4,0.51694,3.505,876.3
[baseline_before] llama3_8b_float16_split_k_1,7040,16,32,8,128,16,fp16,1,fa2,440,,1,1,0,0,7040,440,1,16,64,1,1,1,4,0.52541,3.513,878.1
[baseline_before] llama3_8b_float16_split_k_1,7168,16,32,8,128,16,fp16,1,fa2,448,,1,1,0,0,7168,448,1,16,64,1,1,1,4,0.53549,3.509,877.3
[baseline_before] llama3_8b_float16_split_k_1,7296,16,32,8,128,16,fp16,1,fa2,456,,1,1,0,0,7296,456,1,16,64,1,1,1,4,0.54456,3.512,878.0
[baseline_before] llama3_8b_float16_split_k_1,7424,16,32,8,128,16,fp16,1,fa2,464,,1,1,0,0,7424,464,1,16,64,1,1,1,4,0.55403,3.513,878.2
[baseline_before] llama3_8b_float16_split_k_1,7552,16,32,8,128,16,fp16,1,fa2,472,,1,1,0,0,7552,472,1,16,64,1,1,1,4,0.56335,3.514,878.5
[baseline_before] llama3_8b_float16_split_k_1,7680,16,32,8,128,16,fp16,1,fa2,480,,1,1,0,0,7680,480,1,16,64,1,1,1,4,0.57274,3.515,878.8
[baseline_before] llama3_8b_float16_split_k_1,7808,16,32,8,128,16,fp16,1,fa2,488,,1,1,0,0,7808,488,1,16,64,1,1,1,4,0.58338,3.509,877.1
[baseline_before] llama3_8b_float16_split_k_1,7936,16,32,8,128,16,fp16,1,fa2,496,,1,1,0,0,7936,496,1,16,64,1,1,1,4,0.59149,3.517,879.3
[baseline_before] llama3_8b_float16_split_k_1,8064,16,32,8,128,16,fp16,1,fa2,504,,1,1,0,0,8064,504,1,16,64,1,1,1,4,0.60123,3.516,879.0
[baseline_before] llama3_8b_float16_split_k_1,8192,16,32,8,128,16,fp16,1,fa2,512,,1,1,0,0,8192,512,1,16,64,1,1,1,4,0.61028,3.519,879.7
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,128,16,32,8,128,16,fp16,1,fa2,8,,1,1,0,0,128,8,1,16,64,1,1,1,4,0.04237,0.792,198.0
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,256,16,32,8,128,16,fp16,1,fa2,16,,1,1,0,0,256,16,1,16,64,1,1,1,4,0.07037,0.954,238.4
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,384,16,32,8,128,16,fp16,1,fa2,24,,1,1,0,0,384,24,1,16,64,1,1,1,4,0.04082,2.466,616.4
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,512,16,32,8,128,16,fp16,1,fa2,32,,1,1,0,0,512,32,1,16,64,1,1,1,4,0.04773,2.812,702.9
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,640,16,32,8,128,16,fp16,1,fa2,40,,1,1,0,0,640,40,1,16,64,1,1,1,4,0.05721,2.932,733.1
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,768,16,32,8,128,16,fp16,1,fa2,48,,1,1,0,0,768,48,1,16,64,1,1,1,4,0.06632,3.036,759.0
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,896,16,32,8,128,16,fp16,1,fa2,56,,1,1,0,0,896,56,1,16,64,1,1,1,4,0.0759,3.095,773.7
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,1024,16,32,8,128,16,fp16,1,fa2,64,,1,1,0,0,1024,64,1,16,64,1,1,1,4,0.08443,3.179,794.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,1152,16,32,8,128,16,fp16,1,fa2,72,,1,1,0,0,1152,72,1,16,64,1,1,1,4,0.09374,3.221,805.4
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,1280,16,32,8,128,16,fp16,1,fa2,80,,1,1,0,0,1280,80,1,16,64,1,1,1,4,0.10289,3.261,815.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,1408,16,32,8,128,16,fp16,1,fa2,88,,1,1,0,0,1408,88,1,16,64,1,1,1,4,0.11222,3.289,822.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,1536,16,32,8,128,16,fp16,1,fa2,96,,1,1,0,0,1536,96,1,16,64,1,1,1,4,0.12179,3.306,826.5
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,1664,16,32,8,128,16,fp16,1,fa2,104,,1,1,0,0,1664,104,1,16,64,1,1,1,4,0.13096,3.331,832.7
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,1792,16,32,8,128,16,fp16,1,fa2,112,,1,1,0,0,1792,112,1,16,64,1,1,1,4,0.14043,3.345,836.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,1920,16,32,8,128,16,fp16,1,fa2,120,,1,1,0,0,1920,120,1,16,64,1,1,1,4,0.14961,3.364,841.1
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,2048,16,32,8,128,16,fp16,1,fa2,128,,1,1,0,0,2048,128,1,16,64,1,1,1,4,0.15918,3.373,843.2
