label,kv_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,NUM_STAGES_SMEM,TILE_SIZE_PER_BDX,VEC_SIZE,BDX,BDY,BDZ,KV_TILE_TOKENS,ms,tflops,gb_per_s_est
[baseline_before] llama3_70b,512,8,64,8,128,16,2,1,8,16,8,1,8,0.04575,2.934,366.7
[baseline_before] llama3_70b,640,8,64,8,128,16,2,1,8,16,8,1,8,0.04674,3.589,448.7
[baseline_before] llama3_70b,768,8,64,8,128,16,2,1,8,16,8,1,8,0.04614,4.363,545.4
[baseline_before] llama3_70b,896,8,64,8,128,16,2,1,8,16,8,1,8,0.04779,4.915,614.3
[baseline_before] llama3_70b,1024,8,64,8,128,16,2,1,8,16,8,1,8,0.05353,5.015,626.8
[baseline_before] llama3_70b,1152,8,64,8,128,16,2,1,8,16,8,1,8,0.05919,5.102,637.7
[baseline_before] llama3_70b,1280,8,64,8,128,16,2,1,8,16,8,1,8,0.06363,5.273,659.2
[baseline_before] llama3_70b,1408,8,64,8,128,16,2,1,8,16,8,1,8,0.06917,5.336,667.0
[baseline_before] llama3_70b,1536,8,64,8,128,16,2,1,8,16,8,1,8,0.07509,5.362,670.3
[baseline_before] llama3_70b,1664,8,64,8,128,16,2,1,8,16,8,1,8,0.08098,5.387,673.4
[baseline_before] llama3_70b,1792,8,64,8,128,16,2,1,8,16,8,1,8,0.08646,5.433,679.2
[baseline_before] llama3_70b,1920,8,64,8,128,16,2,1,8,16,8,1,8,0.08925,5.639,704.9
[baseline_before] llama3_70b,2048,8,64,8,128,16,2,1,8,16,8,1,8,0.09529,5.634,704.2
[baseline_before] llama3_70b,2176,8,64,8,128,16,2,1,8,16,8,1,8,0.10182,5.602,700.3
[baseline_before] llama3_70b,2304,8,64,8,128,16,2,1,8,16,8,1,8,0.10727,5.63,703.8
[baseline_before] llama3_70b,2432,8,64,8,128,16,2,1,8,16,8,1,8,0.10898,5.85,731.2
[baseline_before] llama3_70b,2560,8,64,8,128,16,2,1,8,16,8,1,8,0.11472,5.85,731.2
[baseline_before] llama3_70b,2688,8,64,8,128,16,2,1,8,16,8,1,8,0.12148,5.801,725.1
[baseline_before] llama3_70b,2816,8,64,8,128,16,2,1,8,16,8,1,8,0.12379,5.963,745.4
[baseline_before] llama3_70b,2944,8,64,8,128,16,2,1,8,16,8,1,8,0.12913,5.977,747.1
[baseline_before] llama3_70b,3072,8,64,8,128,16,2,1,8,16,8,1,8,0.13603,5.92,740.0
[baseline_before] llama3_70b,3200,8,64,8,128,16,2,1,8,16,8,1,8,0.14125,5.939,742.4
[baseline_before] llama3_70b,3328,8,64,8,128,16,2,1,8,16,8,1,8,0.14299,6.101,762.6
[baseline_before] llama3_70b,3456,8,64,8,128,16,2,1,8,16,8,1,8,0.14848,6.102,762.7
[baseline_before] llama3_70b,3584,8,64,8,128,16,2,1,8,16,8,1,8,0.15787,5.951,743.9
[baseline_before] llama3_70b,3712,8,64,8,128,16,2,1,8,16,8,1,8,0.1612,6.037,754.6
[baseline_before] llama3_70b,3840,8,64,8,128,16,2,1,8,16,8,1,8,0.16525,6.092,761.5
[baseline_before] llama3_70b,3968,8,64,8,128,16,2,1,8,16,8,1,8,0.16931,6.144,768.0
[baseline_before] llama3_70b,4096,8,64,8,128,16,2,1,8,16,8,1,8,0.17713,6.062,757.7
[baseline_before] llama3_70b,4224,8,64,8,128,16,2,1,8,16,8,1,8,0.18443,6.004,750.5
[baseline_before] llama3_70b,4352,8,64,8,128,16,2,1,8,16,8,1,8,0.1865,6.117,764.7
[baseline_before] llama3_70b,4480,8,64,8,128,16,2,1,8,16,8,1,8,0.19871,5.91,738.8
[baseline_before] llama3_70b,4608,8,64,8,128,16,2,1,8,16,8,1,8,0.20622,5.858,732.2
[baseline_before] llama3_70b,4736,8,64,8,128,16,2,1,8,16,8,1,8,0.20822,5.963,745.3
[baseline_before] llama3_70b,4864,8,64,8,128,16,2,1,8,16,8,1,8,0.2075,6.145,768.1
[baseline_before] llama3_70b,4992,8,64,8,128,16,2,1,8,16,8,1,8,0.22493,5.818,727.2
[baseline_before] llama3_70b,5120,8,64,8,128,16,2,1,8,16,8,1,8,0.22916,5.857,732.1
[baseline_before] llama3_70b,5248,8,64,8,128,16,2,1,8,16,8,1,8,0.22988,5.985,748.1
[baseline_before] llama3_70b,5376,8,64,8,128,16,2,1,8,16,8,1,8,0.23926,5.89,736.3
[baseline_before] llama3_70b,5504,8,64,8,128,16,2,1,8,16,8,1,8,0.23923,6.031,753.9
[baseline_before] llama3_70b,5632,8,64,8,128,16,2,1,8,16,8,1,8,0.24698,5.978,747.2
[baseline_before] llama3_70b,5760,8,64,8,128,16,2,1,8,16,8,1,8,0.26084,5.789,723.6
[baseline_before] llama3_70b,5888,8,64,8,128,16,2,1,8,16,8,1,8,0.26261,5.878,734.7
[baseline_before] llama3_70b,6016,8,64,8,128,16,2,1,8,16,8,1,8,0.2622,6.015,751.8
[baseline_before] llama3_70b,6144,8,64,8,128,16,2,1,8,16,8,1,8,0.27499,5.857,732.1
[baseline_before] llama3_70b,6272,8,64,8,128,16,2,1,8,16,8,1,8,0.27664,5.943,742.9
[baseline_before] llama3_70b,6400,8,64,8,128,16,2,1,8,16,8,1,8,0.28082,5.974,746.8
[baseline_before] llama3_70b,6528,8,64,8,128,16,2,1,8,16,8,1,8,0.288,5.942,742.7
[baseline_before] llama3_70b,6656,8,64,8,128,16,2,1,8,16,8,1,8,0.30268,5.765,720.6
[baseline_before] llama3_70b,6784,8,64,8,128,16,2,1,8,16,8,1,8,0.29889,5.95,743.7
[baseline_before] llama3_70b,6912,8,64,8,128,16,2,1,8,16,8,1,8,0.3046,5.949,743.6
[baseline_before] llama3_70b,7040,8,64,8,128,16,2,1,8,16,8,1,8,0.30743,6.003,750.4
[baseline_before] llama3_70b,7168,8,64,8,128,16,2,1,8,16,8,1,8,0.31615,5.943,742.9
[baseline_before] llama3_70b,7296,8,64,8,128,16,2,1,8,16,8,1,8,0.33454,5.717,714.6
[baseline_before] llama3_70b,7424,8,64,8,128,16,2,1,8,16,8,1,8,0.3383,5.753,719.1
[baseline_before] llama3_70b,7552,8,64,8,128,16,2,1,8,16,8,1,8,0.33797,5.858,732.2
[baseline_before] llama3_70b,7680,8,64,8,128,16,2,1,8,16,8,1,8,0.34242,5.88,734.9
[baseline_before] llama3_70b,7808,8,64,8,128,16,2,1,8,16,8,1,8,0.35755,5.725,715.6
[baseline_before] llama3_70b,7936,8,64,8,128,16,2,1,8,16,8,1,8,0.36534,5.694,711.8
[baseline_before] llama3_70b,8064,8,64,8,128,16,2,1,8,16,8,1,8,0.36734,5.755,719.3
[baseline_before] llama3_70b,8192,8,64,8,128,16,2,1,8,16,8,1,8,0.37174,5.777,722.1
[experiment] llama3_8b_tile_size_per_bdx_1,128,8,32,8,128,16,2,1,8,16,4,2,8,0.03816,0.44,109.9
[experiment] llama3_8b_tile_size_per_bdx_1,256,8,32,8,128,16,2,1,8,16,4,2,8,0.0468,0.717,179.3
[experiment] llama3_8b_tile_size_per_bdx_1,384,8,32,8,128,16,2,1,8,16,4,2,8,0.04655,1.081,270.3
[experiment] llama3_8b_tile_size_per_bdx_1,512,8,32,8,128,16,2,1,8,16,4,2,8,0.04692,1.43,357.6
[experiment] llama3_8b_tile_size_per_bdx_1,640,8,32,8,128,16,2,1,8,16,4,2,8,0.04656,1.802,450.5
[experiment] llama3_8b_tile_size_per_bdx_1,768,8,32,8,128,16,2,1,8,16,4,2,8,0.04496,2.239,559.7
[experiment] llama3_8b_tile_size_per_bdx_1,896,8,32,8,128,16,2,1,8,16,4,2,8,0.04623,2.54,635.1
[experiment] llama3_8b_tile_size_per_bdx_1,1024,8,32,8,128,16,2,1,8,16,4,2,8,0.04929,2.723,680.7
[experiment] llama3_8b_tile_size_per_bdx_1,1152,8,32,8,128,16,2,1,8,16,4,2,8,0.05406,2.793,698.2
[experiment] llama3_8b_tile_size_per_bdx_1,1280,8,32,8,128,16,2,1,8,16,4,2,8,0.05951,2.819,704.8
[experiment] llama3_8b_tile_size_per_bdx_1,1408,8,32,8,128,16,2,1,8,16,4,2,8,0.06338,2.912,727.9
[experiment] llama3_8b_tile_size_per_bdx_1,1536,8,32,8,128,16,2,1,8,16,4,2,8,0.06841,2.943,735.7
[experiment] llama3_8b_tile_size_per_bdx_1,1664,8,32,8,128,16,2,1,8,16,4,2,8,0.07365,2.961,740.3
[experiment] llama3_8b_tile_size_per_bdx_1,1792,8,32,8,128,16,2,1,8,16,4,2,8,0.07796,3.013,753.2
[experiment] llama3_8b_tile_size_per_bdx_1,1920,8,32,8,128,16,2,1,8,16,4,2,8,0.08313,3.027,756.8
[experiment] llama3_8b_tile_size_per_bdx_1,2048,8,32,8,128,16,2,1,8,16,4,2,8,0.08695,3.087,771.8
[experiment] llama3_8b_tile_size_per_bdx_1,2176,8,32,8,128,16,2,1,8,16,4,2,8,0.09247,3.084,771.1
[experiment] llama3_8b_tile_size_per_bdx_1,2304,8,32,8,128,16,2,1,8,16,4,2,8,0.09747,3.098,774.6
[experiment] llama3_8b_tile_size_per_bdx_1,2432,8,32,8,128,16,2,1,8,16,4,2,8,0.10219,3.119,779.9
[experiment] llama3_8b_tile_size_per_bdx_1,2560,8,32,8,128,16,2,1,8,16,4,2,8,0.10738,3.125,781.2
[experiment] llama3_8b_tile_size_per_bdx_1,2688,8,32,8,128,16,2,1,8,16,4,2,8,0.11173,3.153,788.3
[experiment] llama3_8b_tile_size_per_bdx_1,2816,8,32,8,128,16,2,1,8,16,4,2,8,0.1167,3.163,790.7
[experiment] llama3_8b_tile_size_per_bdx_1,2944,8,32,8,128,16,2,1,8,16,4,2,8,0.12143,3.178,794.5
[experiment] llama3_8b_tile_size_per_bdx_1,3072,8,32,8,128,16,2,1,8,16,4,2,8,0.12535,3.212,803.0
[experiment] llama3_8b_tile_size_per_bdx_1,3200,8,32,8,128,16,2,1,8,16,4,2,8,0.13001,3.226,806.6
[experiment] llama3_8b_tile_size_per_bdx_1,3328,8,32,8,128,16,2,1,8,16,4,2,8,0.13474,3.237,809.4
[experiment] llama3_8b_tile_size_per_bdx_1,3456,8,32,8,128,16,2,1,8,16,4,2,8,0.1397,3.242,810.6
[experiment] llama3_8b_tile_size_per_bdx_1,3584,8,32,8,128,16,2,1,8,16,4,2,8,0.14569,3.224,806.1
[experiment] llama3_8b_tile_size_per_bdx_1,3712,8,32,8,128,16,2,1,8,16,4,2,8,0.15003,3.243,810.7
[experiment] llama3_8b_tile_size_per_bdx_1,3840,8,32,8,128,16,2,1,8,16,4,2,8,0.15436,3.261,815.1
[experiment] llama3_8b_tile_size_per_bdx_1,3968,8,32,8,128,16,2,1,8,16,4,2,8,0.15934,3.264,816.0
[experiment] llama3_8b_tile_size_per_bdx_1,4096,8,32,8,128,16,2,1,8,16,4,2,8,0.16383,3.277,819.3
[experiment] llama3_8b_tile_size_per_bdx_1,4224,8,32,8,128,16,2,1,8,16,4,2,8,0.16943,3.268,816.9
[experiment] llama3_8b_tile_size_per_bdx_1,4352,8,32,8,128,16,2,1,8,16,4,2,8,0.17362,3.285,821.4
[experiment] llama3_8b_tile_size_per_bdx_1,4480,8,32,8,128,16,2,1,8,16,4,2,8,0.17732,3.312,827.9
[experiment] llama3_8b_tile_size_per_bdx_1,4608,8,32,8,128,16,2,1,8,16,4,2,8,0.18305,3.3,824.9
[experiment] llama3_8b_tile_size_per_bdx_1,4736,8,32,8,128,16,2,1,8,16,4,2,8,0.18753,3.31,827.5
[experiment] llama3_8b_tile_size_per_bdx_1,4864,8,32,8,128,16,2,1,8,16,4,2,8,0.19171,3.326,831.4
[experiment] llama3_8b_tile_size_per_bdx_1,4992,8,32,8,128,16,2,1,8,16,4,2,8,0.19697,3.322,830.5
[experiment] llama3_8b_tile_size_per_bdx_1,5120,8,32,8,128,16,2,1,8,16,4,2,8,0.20106,3.338,834.4
[experiment] llama3_8b_tile_size_per_bdx_1,5248,8,32,8,128,16,2,1,8,16,4,2,8,0.20605,3.338,834.6
[experiment] llama3_8b_tile_size_per_bdx_1,5376,8,32,8,128,16,2,1,8,16,4,2,8,0.21035,3.35,837.5
[experiment] llama3_8b_tile_size_per_bdx_1,5504,8,32,8,128,16,2,1,8,16,4,2,8,0.21453,3.363,840.7
