batch_size,kv_len,default_ms,patched_ms,oracle_ms,default_chunks,patched_chunks,oracle_chunks,oracle_k,oracle_source,patched_speedup,oracle_speedup
2,1792,0.04973,0.04155,0.0419,10.0,1.0,1.0,1,k_1,1.1968712394705177,1.186873508353222
2,1920,0.04981,0.04146,0.0421,10.0,1.0,1.0,1,k_1,1.2013989387361312,1.1831353919239906
2,2048,0.05052,0.04955,0.0418,10.0,2.0,1.0,1,k_1,1.0195761856710395,1.2086124401913878
2,2176,0.05065,0.04999,0.0421,10.0,2.0,1.0,1,k_1,1.0132026405281056,1.2030878859857483
2,2304,0.05144,0.04997,0.0424,10.0,2.0,1.0,1,k_1,1.0294176505903543,1.2132075471698114
2,2432,0.05091,0.04969,0.0443,10.0,2.0,1.0,1,k_1,1.0245522237874825,1.1492099322799096
2,2560,0.05119,0.05069,0.0463,10.0,2.0,1.0,1,k_1,1.009863878477017,1.1056155507559395
2,2688,0.0514,0.04998,0.0482,10.0,2.0,1.0,1,k_1,1.0284113645458184,1.066390041493776
2,2816,0.04959,0.04977,0.0491,10.0,2.0,18.0,19,k_19,0.9963833634719711,1.009979633401222
2,2944,0.05026,0.05015,0.049,10.0,2.0,19.0,19,k_19,1.0021934197407776,1.0257142857142856
2,3072,0.05027,0.05092,0.0491,10.0,3.0,18.0,19,k_19,0.9872348782403771,1.0238289205702649
2,3200,0.04957,0.04987,0.0492,10.0,3.0,9.0,9,k_9,0.9939843593342692,1.007520325203252
2,3328,0.05005,0.05004,0.0492,10.0,3.0,8.0,8,k_8,1.0001998401278975,1.0172764227642275
2,3456,0.0498,0.05013,0.049,10.0,3.0,13.0,13,k_13,0.9934171154997007,1.0163265306122449
2,3584,0.05006,0.04981,0.0491,10.0,3.0,13.0,13,k_13,1.0050190724754064,1.019551934826884
2,3712,0.05017,0.0501,0.0492,10.0,3.0,7.0,7,k_7,1.0013972055888223,1.0197154471544716
2,3840,0.04994,0.05028,0.0487,10.0,3.0,14.0,14,k_14,0.9932378679395386,1.0254620123203284
2,3968,0.04969,0.05055,0.0493,10.0,3.0,13.0,13,k_13,0.9829871414441147,1.0079107505070994
2,4096,0.05006,0.04998,0.0495,10.0,4.0,6.0,6,k_6,1.0016006402561026,1.0113131313131312
2,4224,0.05036,0.04955,0.05,10.0,4.0,5.0,5,k_5,1.0163471241170536,1.0071999999999999
2,4352,0.05168,0.05032,0.0501,10.0,4.0,5.0,5,k_5,1.027027027027027,1.0315369261477045
2,4480,0.05279,0.05105,0.0512,10.0,4.0,5.0,5,k_5,1.0340842311459353,1.0310546875
2,4608,0.05459,0.05284,0.0522,10.0,4.0,4.0,4,k_4,1.0331188493565482,1.0457854406130267
2,4736,0.05499,0.0535,0.0532,10.0,4.0,5.0,5,k_5,1.0278504672897195,1.0336466165413534
2,4864,0.05629,0.0553,0.0548,10.0,4.0,4.0,4,k_4,1.0179023508137433,1.0271897810218977
2,4992,0.05765,0.05603,0.0558,10.0,4.0,3.0,3,k_3,1.0289130822773513,1.0331541218637992
2,5120,0.05875,0.05755,0.057,10.0,5.0,4.0,4,k_4,1.0208514335360557,1.030701754385965
2,5248,0.06051,0.0583,0.0581,10.0,5.0,4.0,4,k_4,1.0379073756432247,1.0414802065404476
2,5376,0.06121,0.05997,0.0593,10.0,5.0,5.0,5,k_5,1.0206770051692513,1.0322091062394605
2,5504,0.06203,0.0607,0.0606,10.0,5.0,4.0,4,k_4,1.0219110378912686,1.0235973597359735
2,5632,0.06374,0.06239,0.0618,10.0,5.0,5.0,5,k_5,1.021638083026126,1.0313915857605178
2,5760,0.06476,0.06317,0.0628,10.0,5.0,3.0,3,k_3,1.025170175716321,1.0312101910828027
2,5888,0.06639,0.06482,0.064,10.0,5.0,4.0,4,k_4,1.0242209194692997,1.03734375
2,6016,0.06733,0.06516,0.0651,10.0,5.0,5.0,5,k_5,1.0333026396562308,1.0342549923195083
2,6144,0.06826,0.06896,0.0665,10.0,6.0,3.0,3,k_3,0.989849187935035,1.0264661654135339
2,6272,0.06963,0.0691,0.0676,10.0,6.0,5.0,5,k_5,1.00767004341534,1.0300295857988166
2,6400,0.07047,0.07084,0.0688,10.0,6.0,4.0,4,k_4,0.9947769621682666,1.0242732558139536
2,6528,0.07223,0.07114,0.0702,10.0,6.0,4.0,4,k_4,1.015321900477931,1.0289173789173789
2,6656,0.07288,0.07337,0.0711,10.0,6.0,5.0,5,k_5,0.9933215210576529,1.0250351617440225
2,6784,0.07392,0.07374,0.0725,10.0,6.0,4.0,4,k_4,1.0024410089503661,1.0195862068965518
